13;Паста с курицей;Подготовьте ингредиенты для пасты с курицей в сливочном соусе. В первую очередь поставьте на огонь кастрюлю с водой (не менее 3 л воды) - для варки пасты, а также глубокую сковороду - для приготовления соуса. С куриного филе уберите кожу и нарежьте его небольшими кусочками. Ломтики бекона нарежьте средним кубиком, маленькую луковицу нарежьте кубиком помельче, а зубчик чеснока пропустите через пресс или также очень мелко нарежьте ножом. На разогретую сковороду налейте 1-2 ложки масла, выложите кубики куриного филе и на сильном огне, помешивая, обжарьте их в течение 1-2 минут. Если сковорода маленького объема, то курицу лучше обжаривайте порциями, чтобы кусочки не начали пускать сок. Обжаренное филе переложите на тарелку. Выложите в сковороду бекон и обжарьте его до румяности. Если во время жарки с бекона выделилось много жира, уберите его с помощью ложки, чтобы блюдо не получилось излишне жирным. К обжаренному бекону добавьте лук и обжарьте их вместе 1 минуту. Румянить лук не нужно, он должен лишь стать прозрачным. Добавьте кусочки куриного филе, перемешайте и высыпьте муку. Помешивая, прогрейте всё вместе в течение 1 минуты. Влейте сливки и готовьте на небольшом огне до тех пор, пока соус не загустеет. Сыр натрите на мелкой тёрке и добавьте его в сливочный соус с курицей (часть сыра можно оставить для подачи). Добавьте чеснок и приправьте сливочный соус солью и перцем по вкусу. Как только вода закипит, добавьте в неё соль (около 1 ст. л.) и выложите макаронные изделия. Готовьте согласно инструкции. Будьте внимательны и не переварите пасту! Готовую пасту вылавливаем щипцами (или шумовкой) и перекладываем в сковороду с соусом. Перемешиваем и прогреваем в течение минуты. Если соус получился густым и ложится на пасту толстым слоем, добавьте в сковороду немного воды из кастрюли, в которой варились макароны, до получения желаемой густоты. Подавайте пасту с курицей в сливочном соусе сразу же после приготовления! Перед подачей каждую порцию можно присыпать листиками свежего базилика, а также тёртым сыром.;RussianFood.com
14;Манная каша;Манную крупу, соль, сахар положить в отдельную мисочку. За несколько секунд до закипания молока тонкой струйкой высыпать манку с сахаром и солью. После закипания помешивать кашу 2–3 минуты на медленном огне, затем закрыть крышкой и укутать полотенцем, оставить на 10–15 минут. Добавить масло.;RussianFood.com
15;Овсяная каша;Молоко налить в кастрюлю, нагреть на маленьком огне до кипения. Добавить в молоко сахар и соль и нагреть до растворения сахара. Засыпать овсяные хлопья и варить на минимальном огне в течение 5-7 минут, периодически помешивая. Снять с огня, положить сливочное масло и дать постоять под крышкой около 5 минут. Молочная овсяная каша готова. ;RussianFood.com
16;Гречка по-купечески;"Гречку промыть. Смазать сковороду маслом (можно даже сливочным) и высыпать туда крупу, подсушить на среднем огне. Натереть морковь, порезать лук (это можно делать во время ""сушки"" гречневой крупы). Обжарить в растительном масле до золотистого цвета. Далее добавляем фарш, разбивая комочки. И в конце добавить томатную пасту (или порезанные помидоры БЕЗ кожицы). Тщательно перемешать. И жарить на среднем огне минут 5 (пока фарш не потемнеет). К мясу и овощам выложить гречку. Залить кипятком так, чтобы гречка была слегка прикрыта водой. Посолить. Тушить гречку по-купечески на медленном огне под крышкой, пока вода не испарится. Если гречка еще не готова, долить еще немного воды, повторить действия. В готовую гречку по-купечески добавить мелко порезанный чеснок (или использовать чесночницу), перемешать. Можно добавить черный молотый перец и лавровый лист. Подавать гречку по-купечески горячей.";RussianFood.com
17;Плов с бараниной;Мясо порезать небольшими кусочками. В казанке разогреть 1 ст. ложку растительного масла, выложить мясо и готовить, помешивая, около 10 минут, до коричневого цвета со всех сторон. Добавить воду и соль, довести до кипения, готовить мясо около 40 минут, до мягкого состояния. Тем временем морковь и лук порезать мелкими кубиками. Оставшееся растительное масло разогреть в сковороде, высыпать на нее овощи и жарить, помешивая, 5 минут. Затем добавить рис, готовить еще около 1 минуты. Высыпать содержимое сковороды в казанок с мясом, положить целую головку чеснока. Довести массу до кипения, затем уменьшить огонь, накрыть казанок крышкой, готовить плов из баранины около 20 минут, до мягкого состояния риса и полного выпаривания жидкости. Подавать плов из баранины в порционных тарелках, украсив петрушкой.;RussianFood.com
18;Куриный бульон;Берете курицу, можете порезать ее на 2 или 4 части, а можете положить целиком в кастрюлю, наливаете воду в кастрюлю так, чтобы она покрыла курицу на 1,5–2 пальца. Довести до кипения. После закипания понизить огонь, снять пену, добавить крупно нарезанные лук и морковь. В процессе варки вода будет выкипать, и потому восполнить нужное вам количество жидкости можно, добавив горячей воды столько, сколько вам надо, только не забывайте пробовать бульон на соль. При приготовлении надо дать бульону закипеть, потом уменьшить газ и дальше варить на малом огне.;eda.ru
19;Драники;Картофель необходимо в сыром виде очистить от кожуры, тщательно вымыть и натереть на мелкой терке. Для измельчения картофеля можно также воспользоваться блендером или перекрутить его через мясорубку. Аналогично нужно измельчить репчатый лук и добавить его к картофелю. В луково-картофельную смесь для связки добавляется сырое яйцо, а также специи по вкусу (в основном, черный молотый перец и соль) и мука. Тесто для драников тщательно замешивается до однородности. Сковорода с раскаленным маслом уже ожидает драников, поэтому с этого момента начинается сам процесс жарки. Тесто для драников нужно аккуратно, при помощи столовой ложки, выкладывать на сковородку в виде блинчиков. Размер драников зависит от предпочтений хозяйки. Они могут быть большими, тогда их в дальнейшем можно будет скрутить с разнообразной начинкой, трансформируя обыкновенные драники в фаршированную вкуснотищу. Драники могут быть и совсем маленькими, тогда их будет удобно подавать на небольших тарелках, к тому же, они наверняка понравятся малышам. Обжариваются драники на среднем огне с двух сторон до появления красивой румяной корочки, после чего сковородка накрывается крышкой, а блинчики прожариваются еще приблизительно три минуты на маленьком огне.;eda.ru
20;Овощной салат;Белокочанную капусту очистить от верхних грубых листьев, помыть. Капусту тонко нашинковать. Посыпать капусту солью и слегка перетереть руками. Сложить в миску. Болгарские перцы помыть, удалить семена. Нарезать полукольцами и добавить к капусте. Огурцы помыть и нарезать тонкими полукольцами. Добавить в миску. Помыть и мелко нарезать зелень. Добавить к овощам. Добавляем ароматное масло и салат готов.;RussianFood.com
21;Винегрет;Картошку, морковку и свеклу режем мелкими кубиками. Добавляем квашеную капусту, мелко порезанные соленые огурцы и измельченный зеленый лук. Сливаем жидкость с горошка и отправляем в салат. Винегрет солим и заправляем ароматным жареным растительным маслом. Перемешиваем. Готовый винегрет с квашеной капустой и горошком сразу подаем к столу.;RussianFood.com
22;Яблоки запечённые с мёдом;Отрезать верхушки у яблок, нарезать и положить в миску. Аккуратно вынуть сердцевину из яблок с помощью ножа и ложки. В миске смешайте корицу, сахар, мёд. Разложите полученную массу в яблочки и ставьте в духовку на 30-40 минут при температуре 160 градусов;eda.ru
